epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.50767,1.77723,2.03205,0.97641,0.96915,0.27845,0.8139,0.46052,1.57523,2.09249,0.89343,0.00047157,0.00047157,0.00047157
2,13.0822,1.30389,0.93654,0.87661,0.89737,0.88436,0.90994,0.56461,1.32265,0.88212,0.8859,0.000938519,0.000938519,0.000938519
3,18.5302,1.22504,0.81772,0.86951,0.91712,0.89761,0.92341,0.61546,1.20408,0.70987,0.87874,0.00139604,0.00139604,0.00139604
4,23.7871,1.17269,0.75094,0.86808,0.94859,0.91758,0.93769,0.65024,1.12703,0.67645,0.86417,0.00138656,0.00138656,0.00138656
5,29.1068,1.10546,0.6771,0.85813,0.93641,0.91998,0.9279,0.63592,1.13707,0.66378,0.86725,0.00137241,0.00137241,0.00137241
6,34.3868,1.08892,0.62969,0.85716,0.94186,0.92818,0.94057,0.66789,1.08546,0.61004,0.86556,0.00135826,0.00135826,0.00135826
7,39.6994,1.02455,0.58721,0.85379,0.93374,0.92545,0.94245,0.68913,1.06741,0.57405,0.86195,0.00134412,0.00134412,0.00134412
8,45.0189,1.01148,0.56762,0.84523,0.94041,0.92066,0.93962,0.64806,1.12557,0.59036,0.86811,0.00132997,0.00132997,0.00132997
9,50.2868,1.00063,0.54467,0.84315,0.93676,0.92758,0.94176,0.69824,1.02612,0.56755,0.85986,0.00131582,0.00131582,0.00131582
10,55.5838,0.97621,0.54123,0.84017,0.94302,0.93158,0.94785,0.71279,0.97911,0.52621,0.85394,0.00130168,0.00130168,0.00130168
11,60.8905,0.97282,0.53162,0.84129,0.92913,0.92644,0.93981,0.69486,1.00399,0.56213,0.85952,0.00128753,0.00128753,0.00128753
12,66.1919,0.94685,0.52175,0.83665,0.9465,0.92826,0.94748,0.69658,1.03677,0.55263,0.8621,0.00127338,0.00127338,0.00127338
13,71.4021,0.94948,0.51096,0.83635,0.93356,0.92786,0.9441,0.6706,1.05085,0.5536,0.85848,0.00125923,0.00125923,0.00125923
14,76.6769,0.92171,0.50592,0.83414,0.94479,0.93457,0.95435,0.72819,0.94606,0.51059,0.8524,0.00124509,0.00124509,0.00124509
15,81.9702,0.90383,0.49653,0.83556,0.93577,0.92532,0.94719,0.70156,1.00286,0.52978,0.85556,0.00123094,0.00123094,0.00123094
16,87.255,0.90076,0.4879,0.83372,0.94148,0.92607,0.94882,0.71665,0.97961,0.52483,0.8518,0.00121679,0.00121679,0.00121679
